"","celltype"
"cell_44177","ExE endoderm"
"cell_44178",NA
"cell_44179","ExE endoderm"
"cell_44180","Nascent mesoderm"
"cell_44181","ExE mesoderm"
"cell_44182","Rostral neurectoderm"
"cell_44183","Mixed mesoderm"
"cell_44184","ExE ectoderm"
"cell_44185","Rostral neurectoderm"
"cell_44186","Rostral neurectoderm"
"cell_44187","Mesenchyme"
"cell_44188","Caudal epiblast"
"cell_44189","ExE endoderm"
"cell_44190","ExE endoderm"
"cell_44191","Primitive Streak"
"cell_44192","Blood progenitors 2"
"cell_44193","Intermediate mesoderm"
"cell_44194","ExE ectoderm"
"cell_44195","Intermediate mesoderm"
"cell_44196","Notochord"
"cell_44197","ExE ectoderm"
"cell_44198",NA
"cell_44199","Primitive Streak"
"cell_44200","Nascent mesoderm"
"cell_44201","Blood progenitors 2"
"cell_44202","Intermediate mesoderm"
"cell_44203",NA
"cell_44204","Nascent mesoderm"
"cell_44205","Surface ectoderm"
"cell_44206",NA
"cell_44207","Visceral endoderm"
"cell_44208","Epiblast"
"cell_44209","Caudal epiblast"
"cell_44210","ExE endoderm"
"cell_44211","ExE ectoderm"
"cell_44212","ExE endoderm"
"cell_44213",NA
"cell_44214","Primitive Streak"
"cell_44215",NA
"cell_44216","Epiblast"
"cell_44217",NA
"cell_44218","ExE mesoderm"
"cell_44219","Pharyngeal mesoderm"
"cell_44220","Nascent mesoderm"
"cell_44221","Gut"
"cell_44222","ExE ectoderm"
"cell_44223","Mixed mesoderm"
"cell_44224","ExE mesoderm"
"cell_44225","ExE ectoderm"
"cell_44226","ExE ectoderm"
"cell_44227","Surface ectoderm"
"cell_44228",NA
"cell_44229","ExE endoderm"
"cell_44230","Caudal epiblast"
"cell_44231","ExE ectoderm"
"cell_44232","ExE endoderm"
"cell_44233",NA
"cell_44234","Caudal epiblast"
"cell_44235","Mesenchyme"
"cell_44236","ExE endoderm"
"cell_44237",NA
"cell_44238","Nascent mesoderm"
"cell_44239","Epiblast"
"cell_44240","ExE ectoderm"
"cell_44241","Primitive Streak"
"cell_44242","Mixed mesoderm"
"cell_44243",NA
"cell_44244",NA
"cell_44245","Caudal epiblast"
"cell_44246",NA
"cell_44247","Rostral neurectoderm"
"cell_44248","Haematoendothelial progenitors"
"cell_44249","Mixed mesoderm"
"cell_44250","Mixed mesoderm"
"cell_44251","Rostral neurectoderm"
"cell_44252","Haematoendothelial progenitors"
"cell_44253","ExE endoderm"
"cell_44254","Caudal epiblast"
"cell_44255","Nascent mesoderm"
"cell_44256","ExE ectoderm"
"cell_44257","Mesenchyme"
"cell_44258",NA
"cell_44259","Blood progenitors 2"
"cell_44260",NA
"cell_44261","Nascent mesoderm"
"cell_44262","ExE endoderm"
"cell_44263","Caudal epiblast"
"cell_44264","Intermediate mesoderm"
"cell_44265","Anterior Primitive Streak"
"cell_44266",NA
"cell_44267",NA
"cell_44268","ExE endoderm"
"cell_44269","Mixed mesoderm"
"cell_44270",NA
"cell_44271","ExE mesoderm"
"cell_44272","ExE endoderm"
"cell_44273","ExE ectoderm"
"cell_44274","Rostral neurectoderm"
"cell_44275","Rostral neurectoderm"
"cell_44276","ExE ectoderm"
"cell_44277","Intermediate mesoderm"
"cell_44278","Caudal epiblast"
"cell_44279","Epiblast"
"cell_44280","ExE ectoderm"
"cell_44281",NA
"cell_44282",NA
"cell_44283",NA
"cell_44284","ExE ectoderm"
"cell_44285","ExE ectoderm"
"cell_44286","Caudal epiblast"
"cell_44287","Nascent mesoderm"
"cell_44288","ExE ectoderm"
"cell_44289","Rostral neurectoderm"
"cell_44290","ExE endoderm"
"cell_44291","ExE endoderm"
"cell_44292","PGC"
"cell_44293","Def. endoderm"
"cell_44294","Rostral neurectoderm"
"cell_44295","ExE endoderm"
"cell_44296","ExE ectoderm"
"cell_44297","Anterior Primitive Streak"
"cell_44298","Rostral neurectoderm"
"cell_44299","ExE ectoderm"
"cell_44300","Nascent mesoderm"
"cell_44301","Rostral neurectoderm"
"cell_44302",NA
"cell_44303","Primitive Streak"
"cell_44304","Rostral neurectoderm"
"cell_44305",NA
"cell_44306","Pharyngeal mesoderm"
"cell_44307","Nascent mesoderm"
"cell_44308","PGC"
"cell_44309",NA
"cell_44310","ExE ectoderm"
"cell_44311",NA
"cell_44312","Rostral neurectoderm"
"cell_44313","Primitive Streak"
"cell_44314",NA
"cell_44315",NA
"cell_44316",NA
"cell_44317","Anterior Primitive Streak"
"cell_44318","Rostral neurectoderm"
"cell_44319","ExE endoderm"
"cell_44320","Surface ectoderm"
"cell_44321","Def. endoderm"
"cell_44322","Blood progenitors 1"
"cell_44323","ExE mesoderm"
"cell_44324",NA
"cell_44325",NA
"cell_44326","ExE ectoderm"
"cell_44327","Rostral neurectoderm"
"cell_44328","Surface ectoderm"
"cell_44329","ExE ectoderm"
"cell_44330","Nascent mesoderm"
"cell_44331","ExE ectoderm"
"cell_44332",NA
"cell_44333","Haematoendothelial progenitors"
"cell_44334",NA
"cell_44335","Def. endoderm"
"cell_44336","Primitive Streak"
"cell_44337","Blood progenitors 1"
"cell_44338","Blood progenitors 2"
"cell_44339","Nascent mesoderm"
"cell_44340","Blood progenitors 2"
"cell_44341","ExE ectoderm"
"cell_44342","Blood progenitors 1"
"cell_44343","ExE mesoderm"
"cell_44344","ExE mesoderm"
