"","ENSEMBL","SYMBOL"
"ENSMUSG00000021750","ENSMUSG00000021750","Fam107a"
"ENSMUSG00000021749","ENSMUSG00000021749","Oit1"
"ENSMUSG00000021747","ENSMUSG00000021747","4930452B06Rik"
"ENSMUSG00000097898","ENSMUSG00000097898","4930455B14Rik"
"ENSMUSG00000060579","ENSMUSG00000060579","Fhit"
"ENSMUSG00000089833","ENSMUSG00000089833","Fhitos"
"ENSMUSG00000072714","ENSMUSG00000072714","Rpl21-ps4"
"ENSMUSG00000097148","ENSMUSG00000097148","Gm3839"
"ENSMUSG00000021745","ENSMUSG00000021745","Ptprg"
"ENSMUSG00000085883","ENSMUSG00000085883","Gm3848"
"ENSMUSG00000033111","ENSMUSG00000033111","3830406C13Rik"
"ENSMUSG00000021743","ENSMUSG00000021743","Fezf2"
"ENSMUSG00000054423","ENSMUSG00000054423","Cadps"
"ENSMUSG00000051729","ENSMUSG00000051729","Gm5087"
"ENSMUSG00000056296","ENSMUSG00000056296","Synpr"
"ENSMUSG00000044772","ENSMUSG00000044772","Sntn"
"ENSMUSG00000084902","ENSMUSG00000084902","Gm281"
"ENSMUSG00000079357","ENSMUSG00000079357","Gm11100"
"ENSMUSG00000053453","ENSMUSG00000053453","Thoc7"
"ENSMUSG00000021738","ENSMUSG00000021738","Atxn7"
"ENSMUSG00000021737","ENSMUSG00000021737","Psmd6"
"ENSMUSG00000052417","ENSMUSG00000052417","Olfr720"
"ENSMUSG00000072707","ENSMUSG00000072707","Olfr31"
"ENSMUSG00000068758","ENSMUSG00000068758","Il3ra"
"ENSMUSG00000091809","ENSMUSG00000091809","Olfr721-ps1"
"ENSMUSG00000021733","ENSMUSG00000021733","Slc4a7"
"ENSMUSG00000042567","ENSMUSG00000042567","Nek10"
"ENSMUSG00000045201","ENSMUSG00000045201","Lrrc3b"
"ENSMUSG00000097547","ENSMUSG00000097547","B230110C06Rik"
"ENSMUSG00000021786","ENSMUSG00000021786","Oxsm"
"ENSMUSG00000021785","ENSMUSG00000021785","Ngly1"
"ENSMUSG00000017485","ENSMUSG00000017485","Top2b"
"ENSMUSG00000017491","ENSMUSG00000017491","Rarb"
"ENSMUSG00000021779","ENSMUSG00000021779","Thrb"
"ENSMUSG00000021775","ENSMUSG00000021775","Nr1d2"
"ENSMUSG00000012405","ENSMUSG00000012405","Rpl15"
"ENSMUSG00000021772","ENSMUSG00000021772","Nkiras1"
"ENSMUSG00000021774","ENSMUSG00000021774","Ube2e1"
"ENSMUSG00000058317","ENSMUSG00000058317","Ube2e2"
"ENSMUSG00000093814","ENSMUSG00000093814","Gm9637"
"ENSMUSG00000095280","ENSMUSG00000095280","Gm21738"
"ENSMUSG00000092036","ENSMUSG00000092036","Gm2244"
"ENSMUSG00000093979","ENSMUSG00000093979","Gm2237"
"ENSMUSG00000095024","ENSMUSG00000095024","Gm5458"
"ENSMUSG00000021806","ENSMUSG00000021806","Nid2"
"ENSMUSG00000021807","ENSMUSG00000021807","2700060E02Rik"
"ENSMUSG00000043004","ENSMUSG00000043004","Gng2"
"ENSMUSG00000045107","ENSMUSG00000045107","Saysd1"
"ENSMUSG00000023243","ENSMUSG00000023243","Kcnk5"
"ENSMUSG00000023387","ENSMUSG00000023387","Kcnk16"
"ENSMUSG00000021809","ENSMUSG00000021809","Nudt13"
"ENSMUSG00000021810","ENSMUSG00000021810","Ecd"
"ENSMUSG00000039599","ENSMUSG00000039599","Fam149b"
"ENSMUSG00000021811","ENSMUSG00000021811","Dnajc9"
"ENSMUSG00000049960","ENSMUSG00000049960","Mrps16"
"ENSMUSG00000039543","ENSMUSG00000039543","Cfap70"
"ENSMUSG00000084942","ENSMUSG00000084942","7330404K18Rik"
"ENSMUSG00000021814","ENSMUSG00000021814","Anxa7"
"ENSMUSG00000021815","ENSMUSG00000021815","Mss51"
"ENSMUSG00000021816","ENSMUSG00000021816","Ppp3cb"
"ENSMUSG00000084925","ENSMUSG00000084925","1810062O18Rik"
"ENSMUSG00000034235","ENSMUSG00000034235","Usp54"
"ENSMUSG00000099966","ENSMUSG00000099966","2810402E24Rik"
"ENSMUSG00000068697","ENSMUSG00000068697","Myoz1"
"ENSMUSG00000039376","ENSMUSG00000039376","Synpo2l"
"ENSMUSG00000039367","ENSMUSG00000039367","Sec24c"
"ENSMUSG00000097577","ENSMUSG00000097577","6230400D17Rik"
"ENSMUSG00000039357","ENSMUSG00000039357","Fut11"
"ENSMUSG00000063787","ENSMUSG00000063787","Chchd1"
"ENSMUSG00000021819","ENSMUSG00000021819","Zswim8"
"ENSMUSG00000039308","ENSMUSG00000039308","Ndst2"
"ENSMUSG00000021820","ENSMUSG00000021820","Camk2g"
"ENSMUSG00000021822","ENSMUSG00000021822","Plau"
"ENSMUSG00000021823","ENSMUSG00000021823","Vcl"
